"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"BARRA REDONDA DE ALUMINIO 3/16 SIN ACABADO 3.66 MT","METALICOS","TRAMO","",""
"BARRA REDONDA DE LATON 3/16"" X 3.66 MT","METALICOS","TRAMO","142.61","2026-01-27"
"BARRA REDONDA FIERRO 1/4"" PULIDO","METALICOS","TRAMO","60.34","2026-01-27"
"BARRA REDONDA FIERRO 3/8""","METALICOS","TRAMO","",""
"BARRERA DE VAPOR AISLANTE REFLECTANTE DOBLE BURBUJA ALUMINIO (M2M) 8MM X 1.22 X 38.10 MT 55029 AI R-FOIL","CONSTRUCCION","ROLLO","2242.71","2026-05-07"
"BARRIL CONECTOR 1/4-20X14.8X16MM GALV 3424","FERRETERIA","PZ","1.76","2024-12-31"
"BASE INCLINADA (2) BASE MURAL (1) 16A 3P+T 230VCA","FERRETERIA","PZ","",""
"BASE INCLINADA (2) BASE MURAL (1) 32A 3P+T 230VCA","FERRETERIA","PZ","",""
"BASE INCLINADA 16A 2P+T 230VCA","FERRETERIA","PZ","",""
"BASE INCLINADA 32A 3P+T 230 VCA","FERRETERIA","PZ","",""
"BASE PARA HILO DE DESBROZADORA (CABEZAL DE CORTE AUTOCUT 46-2)","REPUESTOS HERRAMIENTAS","PZ","",""
"BASE PARA PULIDORA DE BANDA (BASE (MBS400) MÁS BASE DE CORCHO (9401))","REPUESTOS HERRAMIENTAS","JG","",""
"BASE PARA PULIDORA ORBITAL (PLATO-SOPORTE) GRIP-919014400 MIRKA","REPUESTOS HERRAMIENTAS","PZ","",""
"BASE PARA PULIDORA ORBITAL DYNABRADE #PARTE 54325","REPUESTOS HERRAMIENTAS","PZ","599.0","2025-11-07"
"BASE/RESPALDO P/LIJADORA ELECTRICA DEWALT 5"" N329079 DWE6421","FERRETERIA","PZ","211.21","2025-12-09"
"BASE/RESPALDO P/LIJADORA NEUMATICA TRUPER VINIL P/LIJAS AUTOADHERIBLES 6"" 19389","FERRETERIA","PZ","",""
"BASE/RESPALDO PARA PULIDORA BOSCH 5"" 2608000349","FERRETERIA","PZ","362.07","2025-01-08"
"BASE/RESPALDO/PLATO DICASA CON SOPORTE DE VELCRO 5"" CADUCEO","REPUESTOS HERRAMIENTAS","PZ","187.67","2026-02-25"
"BASE/RESPALDO/PLATO PARA PULIDORA ELECTRICA BOSCH 5""-1387","REPUESTOS HERRAMIENTAS","PZ","",""
"BASE/RESPALDO/PLATO PARA PULIDORA ELECTRICA DEWALT 5""","REPUESTOS HERRAMIENTAS","PZ","",""
"BASE/RESPALDO/PLATO PARA PULIDORA ELECTRICA TRUPER HOOK AND LOOP PARA LIRO-5a","REPUESTOS HERRAMIENTAS","PZ","",""
"BASE/RESPALDO/PLATO PARA PULIDORA ORBITAL KARLEN 5""","REPUESTOS HERRAMIENTAS","PZ","",""
"BATERIA I 18V BOSCH GBA 18V ZM35-521250179","HERRAMIENTAS","PZ","",""
"BATERIA I 20V  DEWALT  DCB205 NA575411 Z0F9BRO","HERRAMIENTAS","PZ","",""
"BATERIA II 18V BOSCH GBA 18V ZM35-521250187","HERRAMIENTAS","PZ","",""
"BATERIA II 20V DEWALT  DCB205 NA575411 Z0F9C21","HERRAMIENTAS","PZ","",""
"BATERIA III 18V BOSCH GBA 18V ZM35-521240390","HERRAMIENTAS","PZ","",""
"BATERIA III 20V DEWALT  DCB205 NA575411 Z0F9BU6","HERRAMIENTAS","PZ","",""
"BATERIA IV 18V BOSCH GBA 18V ZM35-521240389","HERRAMIENTAS","PZ","",""
"BATERIA IV 20V DEWALT  DCB205 NA575411 Z0F9C22","HERRAMIENTAS","PZ","",""
"BICOLOR","PAPELERIA","PZ","",""
"BISAGRA 1-1/2"" X 1-3/16"" HERMEX 46910 BR-152 LATON ANTIGUO","FERRETERIA","PZ","4.74","2026-03-06"
"BISAGRA 1-5/8"" x 2"" PHILLIPS 120E CTP A 1345","FERRETERIA","PZ","",""
"BISAGRA 2X2 S/BALERO C/PLANA C/T 7205","FERRETERIA","PZ","26.33","2025-02-10"
"BISAGRA 3 X 2 PHILLIPS 1347","FERRETERIA","PZ","",""
"BISAGRA 3.5X3.5 HAFELE 926.24.060","FERRETERIA","PZ","",""
"BISAGRA 3.5X3.5 PHILLIPS 635BB","FERRETERIA","PZ","",""
"BISAGRA 3X3 926.24.000","FERRETERIA","PZ","",""
"BISAGRA 3X3 C/BALERO DEXTER 7212 LATON ANTIGUO","FERRETERIA","PZ","",""
"BISAGRA 3X3 C/BALERO HAFELE 926.24.000","FERRETERIA","PZ","46.45","2024-12-17"
"BISAGRA 3X3 HAFELE 926.24.050 C/BALERO NEGRA","FERRETERIA","PZ","55.9","2026-05-20"
"BISAGRA 3X3 HAFELE 926.65.000","FERRETERIA","PZ","144.71","2025-05-12"
"BISAGRA 3X3 S/BALERO DEXTER 7248","FERRETERIA","PZ","",""
"BISAGRA 4.5X4 HAFELE 926.24.080","FERRETERIA","PZ","",""
"BISAGRA 4.5X4 HAFELE 926.35.003","FERRETERIA","PZ","",""
"BISAGRA 4X3 HAFELE","FERRETERIA","PZ","",""
"BISAGRA 4X4 HAFELE 926.65.030","FERRETERIA","PZ","",""
"BISAGRA 6X4 JAKO  C/BALEROS INOX CMJ039","FERRETERIA","PZ","",""
"BISAGRA 75 X 48 ACERO INOX JAKO","FERRETERIA","PZ","",""
